basis,natural_orbital,occupation,distance_to_idempotent
natural-orbital basis,1,1.9985095874132512,0.0014904125867487572
natural-orbital basis,2,1.9970237445536112,0.002976255446388798
natural-orbital basis,3,1.996763257746356,0.0032367422536438983
natural-orbital basis,4,1.9886761541212084,0.01132384587879165
natural-orbital basis,5,1.978469922551323,0.021530077448677076
natural-orbital basis,6,1.9721945228784856,0.027805477121514377
natural-orbital basis,7,1.9479901972746148,0.052009802725385246
natural-orbital basis,8,1.9465133844179079,0.05348661558209211
natural-orbital basis,9,1.9437149685139354,0.05628503148606456
natural-orbital basis,10,1.9419394135036525,0.05806058649634749
natural-orbital basis,11,1.4681754322628626,0.5318245677371374
natural-orbital basis,12,1.4075706676380377,0.5924293323619623
natural-orbital basis,13,1.2432145255408422,0.7567854744591578
natural-orbital basis,14,1.1203234156252013,0.8796765843747987
natural-orbital basis,15,1.0770869331817543,0.9229130668182457
natural-orbital basis,16,0.945015823657427,0.945015823657427
natural-orbital basis,17,0.9406930390253165,0.9406930390253165
natural-orbital basis,18,0.8210025684193731,0.8210025684193731
natural-orbital basis,19,0.6608262864357818,0.6608262864357818
natural-orbital basis,20,0.6042961426139548,0.6042961426139548
