alpha,beta,coefficient
11111111111111100000,11111111111111100000,0.13339848424757303
11111111111111100000,11111111111110011000,-0.0014423251601486248
11111111111111100000,11111111111101010100,0.0011669959474081559
11111111111111100000,11111111111100101100,0.00082134279072554328
11111111111111100000,11111111111011010010,-0.0011537962338676322
11111111111111100000,11111111111010101010,-0.0011100312048707983
11111111111111100000,11111111111001100110,-0.00046482331327579729
11111111111111100000,11111111110111010001,0.0010112767625593544
11111111111111100000,11111111110110101001,0.0014227212612411833
11111111111111100000,11111111110101100101,-0.00014719035535326608
11111111111111010000,11111111111111010000,-0.12779717776587951
11111111111111010000,11111111111110110000,-0.010548653759051063
11111111111111010000,11111111111111001000,0.010908544258002917
11111111111111010000,11111111111110101000,0.0036972015723279739
11111111111111010000,11111111111101100100,-0.00078227899694988112
11111111111111010000,11111111111100011100,-0.00051739322923974318
11111111111111010000,11111111111011100010,0.0012207675131278573
11111111111111010000,11111111111010011010,0.00071225766470953134
11111111111111010000,11111111111001010110,0.00033184199240830076
11111111111111010000,11111111110111100001,-0.0017521819669663666
11111111111111010000,11111111110110011001,-0.0010202621540630515
11111111111111010000,11111111110101010101,0.00016652800549945765
11111111111110110000,11111111111111010000,-0.010548653759072353
11111111111110110000,11111111111111001000,-0.11345155930304067
11111111111110110000,11111111111110101000,-0.010494726123205119
11111111111101110000,11111111111111000100,-0.10602098902032193
11111111111011110000,11111111111111000010,0.089186925361076363
11111111110111110000,11111111111111000001,-0.081420031717002031
11111111111111001000,11111111111111010000,0.010908544257997678
11111111111111001000,11111111111110110000,-0.11345155930299479
11111111111111001000,11111111111110101000,0.010901021242276394
11111111111110101000,11111111111111010000,0.0036972015723247811
11111111111110101000,11111111111110110000,-0.010494726123207473
11111111111110101000,11111111111111001000,0.010901021242278505
11111111111110101000,11111111111110101000,-0.12557463891063747
11111111111110101000,11111111111101100100,0.00050059046822861319
11111111111110101000,11111111111100011100,-0.00078960676857111538
11111111111110101000,11111111111011100010,0.0013073965177617527
11111111111110101000,11111111111010011010,0.00073336885784830289
11111111111110101000,11111111111000101110,0.00022706084045627541
11111111111110101000,11111111110111100001,-0.0024563159356470426
11111111111110101000,11111111110110011001,-0.00066025763199377028
11111111111110101000,11111111110100101101,0.00019847426883631857
11111111111101101000,11111111111110100100,-0.10507734294087522
11111111111011101000,11111111111110100010,0.088747237421855502
11111111110111101000,11111111111110100001,-0.082374331980482329
11111111111110011000,11111111111111100000,-0.0014423251601327568
11111111111110011000,11111111111110011000,0.11531611200744497
11111111111110011000,11111111111101010100,-0.00028717453381302022
11111111111110011000,11111111111100101100,0.00083957943922905137
11111111111110011000,11111111111011010010,-0.0015588538344128583
11111111111110011000,11111111111010101010,-0.0014554019056028254
11111111111110011000,11111111111001100110,-7.875947613356802e-05
11111111111110011000,11111111111000011110,0.00014906665384657755
11111111111110011000,11111111110111010001,0.0026809222113664422
11111111111110011000,11111111110110101001,0.0019971277843078257
11111111111101011000,11111111111110010100,0.098058036958373174
11111111111011011000,11111111111110010010,-0.082365164265079616
11111111110111011000,11111111111110010001,0.076521473205536608
11111111111100111000,11111111111110001100,0.096717154874790393
11111111111010111000,11111111111110001010,-0.080414968544374132
11111111110110111000,11111111111110001001,0.073914129288399133
11111111111001111000,11111111111110000110,-0.078666785859056912
11111111110101111000,11111111111110000101,0.07283074744559144
11111111110011111000,11111111111110000011,-0.062426669702935908
11111111111111000100,11111111111101110000,-0.106020989020363
11111111111110100100,11111111111101101000,-0.10507734294095128
11111111111101100100,11111111111111010000,-0.00078227899696249462
11111111111101100100,11111111111110101000,0.00050059046822202103
11111111111101100100,11111111111101100100,-0.10490069668411822
11111111111101100100,11111111111100011100,0.0012974559226199773
11111111111101100100,11111111111011100010,0.0041268318483314
11111111111101100100,11111111111010011010,-3.872758388397828e-05
11111111111101100100,11111111111001010110,0.00082272991298838857
11111111111101100100,11111111111000101110,0.00081023293390340505
11111111111101100100,11111111110111100001,-0.0057166469952328871
11111111111101100100,11111111110110011001,-1.3203237445769205e-05
11111111111101100100,11111111110101010101,-0.00066805856656436901
11111111111101100100,11111111110100101101,-0.00094831018569784421
11111111111011100100,11111111111101100010,0.081192094026666647
11111111110111100100,11111111111101100001,-0.074430935093965866
11111111111110010100,11111111111101011000,0.098058036958439593
11111111111101010100,11111111111111100000,0.0011669959474209014
11111111111101010100,11111111111110011000,-0.00028717453380887353
11111111111101010100,11111111111101010100,0.098197562811859457
11111111111101010100,11111111111100110100,0.0084652498190376253
11111111111101010100,11111111111101001100,-0.0087816982375398117
11111111111101010100,11111111111100101100,-0.0031444642595015886
11111111111101010100,11111111111011010010,-0.0041730247301975465
11111111111101010100,11111111111010101010,0.00018436472494991367
11111111111101010100,11111111111001100110,-0.00079777950901874358
11111111111101010100,11111111111000011110,-0.00058047362889622771
11111111111101010100,11111111110111010001,0.005673795311015895
11111111111101010100,11111111110110101001,-7.4699847082452194e-05
11111111111101010100,11111111110101100101,0.0013371536622604507
11111111111101010100,11111111110100011101,0.00059962633077838582
11111111111011010100,11111111111101010010,-0.076999901040507801
11111111110111010100,11111111111101010001,0.070622619058272912
11111111111100110100,11111111111101010100,0.0084652498190469268
11111111111100110100,11111111111101001100,0.091857024929656181
11111111111100110100,11111111111100101100,0.0083780432696853244
11111111111010110100,11111111111101001010,-0.071661613239749913
11111111110110110100,11111111111101001001,0.065187538877387999
11111111111001110100,11111111111101000110,-0.072611489166596821
11111111110101110100,11111111111101000101,0.066620271823517763
11111111110011110100,11111111111101000011,-0.055001063502322228
11111111111110001100,11111111111100111000,0.09671715487481973
11111111111101001100,11111111111101010100,-0.0087816982375394752
11111111111101001100,11111111111100110100,0.091857024929626413
11111111111101001100,11111111111100101100,-0.0087270742239038551
11111111111101001100,11111111111010110010,-0.0015044354247806784
11111111111101001100,11111111110110110001,0.0023629627427191619
11111111111011001100,11111111111100110010,-0.073083811919505387
11111111110111001100,11111111111100110001,0.068310136132469654
11111111111100101100,11111111111111100000,0.00082134279073296942
11111111111100101100,11111111111110011000,0.00083957943923734975
11111111111100101100,11111111111101010100,-0.0031444642594980906
11111111111100101100,11111111111100110100,0.0083780432696862698
11111111111100101100,11111111111101001100,-0.0087270742239052377
11111111111100101100,11111111111100101100,0.09470597619464631
11111111111100101100,11111111111011010010,0.00014872058000124213
11111111111100101100,11111111111010101010,-0.0041372302217954357
11111111111100101100,11111111111001100110,-0.00081075579928315152
11111111111100101100,11111111111000011110,-0.00055308145139731696
11111111111100101100,11111111110111010001,-3.3764451507563837e-05
11111111111100101100,11111111110110101001,0.0055710604422382201
11111111111100101100,11111111110101100101,0.0018132661639758492
11111111111100101100,11111111110100011101,0.00032679782151462335
11111111111010101100,11111111111100101010,-0.074467862529628795
11111111110110101100,11111111111100101001,0.068712461482840631
11111111111001101100,11111111111100100110,-0.071995408974696334
11111111110101101100,11111111111100100101,0.067128841186624419
11111111110011101100,11111111111100100011,-0.055721725764846852
11111111111100011100,11111111111111010000,-0.00051739322924955868
11111111111100011100,11111111111110101000,-0.00078960676857236665
11111111111100011100,11111111111101100100,0.0012974559226138264
11111111111100011100,11111111111100011100,-0.08580055553037938
