basis,k,fraction_of_full_space,cumulative_norm2,projected_overlap,rayleigh_energy_eh,energy_error_vs_full_eh,energy_error_vs_full_millieh,residual_norm_eh,correlation_recovery_fraction,wall_s,state
natural-orbital basis,64,2.662517399551206e-07,0.41811803676541226,0.6466204735124094,-116.1989936609151,0.4066154595091689,406.6154595091689,0.6886588729948693,,69.19723796844482,amplitude-ranked projection
natural-orbital basis,128,5.325034799102412e-07,0.5381225677770453,0.733568379755456,-116.26435613144645,0.3412529889778142,341.2529889778142,0.6857822953154138,,69.31723856925964,amplitude-ranked projection
natural-orbital basis,256,1.0650069598204824e-06,0.6689046754206918,0.81786592753378,-116.33330979494113,0.2722993254831323,272.2993254831323,0.6559549692838567,,69.01388454437256,amplitude-ranked projection
natural-orbital basis,512,2.1300139196409648e-06,0.7685072562843145,0.8766454564328231,-116.43662614444148,0.1689829759827859,168.9829759827859,0.4728878610445517,,69.11766719818115,amplitude-ranked projection
natural-orbital basis,1024,4.2600278392819296e-06,0.8219192809384851,0.9065976400468323,-116.47293670520742,0.13267241521684525,132.67241521684525,0.39465946198114815,,68.99680709838867,amplitude-ranked projection
natural-orbital basis,2048,8.520055678563859e-06,0.8545657144382636,0.9244272358808258,-116.49601468405409,0.1095944363701733,109.5944363701733,0.3700101337294032,,68.97442626953125,amplitude-ranked projection
natural-orbital basis,4096,1.7040111357127718e-05,0.8839033992807801,0.9401613687451621,-116.51673720535764,0.08887191506661907,88.87191506661907,0.3444169518555415,,68.91851592063904,amplitude-ranked projection
natural-orbital basis,8192,3.4080222714255437e-05,0.9127070824968071,0.9553570445110044,-116.53715021570618,0.06845890471808502,68.45890471808502,0.30931745883768275,,69.06337094306946,amplitude-ranked projection
natural-orbital basis,16384,6.816044542851087e-05,0.9379590024373093,0.9684828353860031,-116.55290479745115,0.05270432297311345,52.70432297311345,0.2828690435236554,,69.10155415534973,amplitude-ranked projection
natural-orbital basis,32768,0.00013632089085702175,0.9586962250295575,0.9791303411852493,-116.5681027360137,0.03750638441056253,37.50638441056253,0.24377790863381468,,68.86030173301697,amplitude-ranked projection
natural-orbital basis,65536,0.0002726417817140435,0.9742092380802879,0.9870203838220714,-116.58006412672788,0.02554499369638563,25.54499369638563,0.20703649407958952,,69.05141615867615,amplitude-ranked projection
natural-orbital basis,131072,0.000545283563428087,0.9851546873051537,0.9925495893430756,-116.58986586392479,0.015743256499476388,15.743256499476388,0.16466046583457983,,69.04986453056335,amplitude-ranked projection
natural-orbital basis,262144,0.001090567126856174,0.992181204138833,0.9960829303520922,-116.59659837557733,0.009010744846932539,9.010744846932539,0.12749246217584456,,69.02634477615356,amplitude-ranked projection
natural-orbital basis,524288,0.002181134253712348,0.9962401442950573,0.9981183017533705,-116.60094316146366,0.004665958960600847,4.665958960600847,0.09333763952571797,,69.04725050926208,amplitude-ranked projection
natural-orbital basis,1048576,0.004362268507424696,0.9983546295517839,0.9991769760917536,-116.60341403250267,0.002195087921592176,2.195087921592176,0.06511815106772734,,69.04602813720703,amplitude-ranked projection
natural-orbital basis,2097152,0.008724537014849392,0.9993528809888873,0.9996763881321209,-116.60468020408953,0.0009289163347290241,0.9289163347290241,0.04321916973438301,,69.19882893562317,amplitude-ranked projection
natural-orbital basis,4194304,0.017449074029698784,0.9997758503591009,0.9998879188985208,-116.60526034506996,0.000348775354297004,0.348775354297004,0.027167832183283697,,69.33270859718323,amplitude-ranked projection
