basis,k,retained_norm2,retained_h_retained_eh,retained_tail_cross_eh,tail_h_tail_eh,full_energy_eh,decomposition_closure_eh,normalization_contribution_to_error_eh,removed_tail_contribution_to_error_eh,removed_cross_contribution_to_error_eh,projected_energy_error_eh,energy_error_closure_eh,retained_shifted_h_retained_eh,tail_norm2,tail_shifted_h_tail_eh,shifted_decomposition_closure_eh,tail_quadratic_error_contribution_eh,retained_tail_coupling_error_contribution_eh,shifted_energy_error_closure_eh
natural-orbital basis,64,0.41811803676541226,-48.5848951036184,-0.3400264930251069,-67.68068752378076,-116.60560912042426,-1.4210854715202004e-14,-67.61409855729669,67.68068752378076,0.3400264930251069,0.4066154595091689,1.4210854715202004e-14,0.1700132576484421,0.5818819632345877,0.1700132353766577,-7.105427357601002e-15,-0.40661540624243553,0.8132308657516272,2.275957200481571e-14
natural-orbital basis,128,0.5381225677770453,-62.56447386239882,-0.36727183857176726,-53.673863419453674,-116.60560912042426,0.0,-53.69988226904763,53.673863419453674,0.36727183857176726,0.3412529889778142,0.0,0.18363593469032935,0.46187743222295474,0.1836359038814379,0.0,-0.3412529317252531,0.6825059207030604,-6.938893903907228e-15
natural-orbital basis,256,0.6689046754206918,-77.81589482899987,-0.3642845532384058,-38.42542973818598,-116.60560912042426,0.0,-38.51741496594125,38.42542973818598,0.3642845532384058,0.2722993254831323,7.105427357601002e-15,0.18214229192957987,0.33109532457930824,0.18214226130883304,7.105427357601002e-15,-0.27229927970570544,0.544598605188845,7.216449660063518e-15
natural-orbital basis,512,0.7685072562843145,-89.4823920892672,-0.25972925637938715,-26.86348777477768,-116.60560912042426,0.0,-26.95423405517428,26.86348777477768,0.25972925637938715,0.1689829759827859,3.552713678800501e-15,0.12986464323130065,0.2314927437156855,0.1298646131480936,7.105427357601002e-15,-0.16898293683781343,0.33796591282060523,5.9119376061289586e-15
natural-orbital basis,1024,0.8219192809384851,-95.73135238553776,-0.21809201917517385,-20.656164715711327,-116.60560912042426,0.0,-20.74158431966965,20.656164715711327,0.21809201917517385,0.13267241521684525,7.105427357601002e-15,0.10904601611541409,0.1780807190615149,0.10904600305976686,7.105427357601002e-15,-0.13267239933251815,0.26534481454937,6.5780714209040525e-15
natural-orbital basis,2048,0.8545657144382636,-99.55350001768913,-0.1873112886245849,-16.864797814110545,-116.60560912042426,0.0,-16.942514666364964,16.864797814110545,0.1873112886245849,0.1095944363701733,-7.105427357601002e-15,0.09365564781512603,0.14543428556173643,0.09365564080945532,-3.552713678800501e-15,-0.10959442817223074,0.21918886454239658,-7.452372052796363e-15
natural-orbital basis,4096,0.8839033992807801,-102.98954008892096,-0.1571083718983175,-13.458960659604983,-116.60560912042426,0.0,-13.52719711643668,13.458960659604983,0.1571083718983175,0.08887191506661907,1.7763568394002505e-15,0.07855418782797585,0.1160966007192199,0.0785541840703381,-3.552713678800501e-15,-0.08887191081543135,0.17774382588205273,2.3175905639050143e-15
natural-orbital basis,8192,0.9127070824968071,-106.36428237586934,-0.12496585055561127,-10.116360893999314,-116.60560912042426,0.0,-10.172867839836838,10.116360893999314,0.12496585055561127,0.06845890471808502,1.7763568394002505e-15,0.062482927196171545,0.0872929175031929,0.062482923359439724,0.0,-0.06845890051440277,0.13691780523248917,1.3739009929736312e-15
natural-orbital basis,16384,0.9379590024373093,-109.32184631498797,-0.09886898516930387,-7.184893820266993,-116.60560912042426,0.0,-7.231058482463183,7.184893820266993,0.09886898516930387,0.05270432297311345,0.0,0.04943449419999979,0.06204099756269066,0.04943449096930852,4.440892098500626e-15,-0.05270431952873397,0.10540864250184752,9.71445146547012e-17
natural-orbital basis,32768,0.9586962250295575,-111.75340005187397,-0.07191445560130205,-4.7802946129489925,-116.60560912042426,0.0,-4.8147026841397285,4.7802946129489925,0.07191445560130205,0.03750638441056253,3.552713678800501e-15,0.03595722914892008,0.041303774970442464,0.03595722645238464,2.6645352591003757e-15,-0.037506381597858116,0.07501276600842448,3.83026943495679e-15
natural-orbital basis,65536,0.9742092380802879,-113.57337544825067,-0.04977233585850627,-2.982461336315083,-116.60560912042426,0.0,-3.0066886784772056,2.982461336315083,0.04977233585850627,0.02554499369638563,-1.7763568394002505e-15,0.024886168845725365,0.02579076191971208,0.024886167012786675,5.773159728050814e-15,-0.02554499181492644,0.051089985511310006,-2.0643209364124004e-15
natural-orbital basis,131072,0.9851546873051537,-114.85905284812463,-0.03101908464952885,-1.7155371876500993,-116.60560912042426,0.0,-1.7308130158001553,1.7155371876500993,0.03101908464952885,0.015743256499476388,-3.552713678800501e-15,0.015509542933898501,0.014845312694846347,0.015509541715625907,-4.440892098500626e-15,-0.015743255262837517,0.03148651176231031,-3.597816489175898e-15
natural-orbital basis,262144,0.992181204138833,-115.68495337477222,-0.017880582630454,-0.9027751630215874,-116.60560912042426,0.0,-0.9116450008051104,0.9027751630215874,0.017880582630454,0.009010744846932539,-1.4432899320127035e-15,0.008940291672416834,0.00781879586116696,0.008940290958038166,9.992007221626409e-16,-0.009010744126923792,0.018021488973854843,-1.4883927423881005e-15
natural-orbital basis,524288,0.9962401442950573,-116.16254044011633,-0.009296830852690618,-0.4337718494552405,-116.60560912042426,0.0,-0.43840272134733443,0.4337718494552405,0.009296830852690618,0.004665958960600847,-4.163336342344337e-15,0.004648415628182079,0.0037598557049427495,0.004648415224510982,2.4424906541753444e-15,-0.004665958555404547,0.00933191751600121,-4.182418300580082e-15
