basis,k,retained_norm2,retained_h_retained_eh,retained_tail_cross_eh,tail_h_tail_eh,full_energy_eh,decomposition_closure_eh,normalization_contribution_to_error_eh,removed_tail_contribution_to_error_eh,removed_cross_contribution_to_error_eh,projected_energy_error_eh,energy_error_closure_eh
tracker-orbital basis,64,0.07549820705485956,-8.744311678076771,-0.11840548035174336,-107.74289196199769,-116.6056091204262,0.0,-107.07713652827411,107.74289196199769,0.11840548035174336,0.784160914075315,3.552713678800501e-15
tracker-orbital basis,128,0.10526739471379046,-12.200677401438186,-0.14818255134254343,-104.25674916764547,-116.6056091204262,0.0,-103.7010928913517,104.25674916764547,0.14818255134254343,0.7038388276363037,0.0
tracker-orbital basis,256,0.14384495707783085,-16.677609892606295,-0.19103788176088443,-99.73696134605902,-116.6056091204262,0.0,-99.26395824719623,99.73696134605902,0.19103788176088443,0.6640409806236676,7.105427357601002e-15
tracker-orbital basis,512,0.19134587182188278,-22.196186848142023,-0.23163016246749635,-94.17779210981668,-116.6056091204262,0.0,-93.80415659696602,94.17779210981668,0.23163016246749635,0.6052656753181509,0.0
tracker-orbital basis,1024,0.24803600104779314,-28.786915372965943,-0.2709472083139488,-87.54774653914632,-116.6056091204262,-1.4210854715202004e-14,-87.27250846615289,87.54774653914632,0.2709472083139488,0.5461852813073733,7.105427357601002e-15
tracker-orbital basis,2048,0.31474832269595765,-36.54633621932344,-0.3101673145286554,-79.7491055865741,-116.6056091204262,-1.4210854715202004e-14,-79.56655012201753,79.7491055865741,0.3101673145286554,0.4927227790852271,0.0
tracker-orbital basis,4096,0.38896101785770426,-45.18166899505938,-0.3467348079924335,-71.07720531737438,-116.6056091204262,0.0,-70.9782208671901,71.07720531737438,0.3467348079924335,0.4457192581767089,0.0
tracker-orbital basis,8192,0.4713033463962392,-54.773793028238,-0.3656414903543066,-61.466174601833885,-116.6056091204262,0.0,-61.44391144396404,61.466174601833885,0.3656414903543066,0.3879046482241506,0.0
tracker-orbital basis,16384,0.5578900051524345,-64.86982022138618,-0.3665672758714038,-51.36922162316861,-116.6056091204262,0.0,-51.40725881261004,51.36922162316861,0.3665672758714038,0.3285300864299785,0.0
tracker-orbital basis,32768,0.6447111315012242,-75.0029218941963,-0.3480245769471537,-41.254662649282736,-116.6056091204262,0.0,-41.332779832482956,41.254662649282736,0.3480245769471537,0.2699073937469336,0.0
tracker-orbital basis,65536,0.7269335614764002,-84.6101462358418,-0.30876895902434853,-31.68669392556005,-116.6056091204262,0.0,-31.783085167587707,31.68669392556005,0.30876895902434853,0.2123777169966985,-7.105427357601002e-15
tracker-orbital basis,131072,0.8001212430759829,-93.16988354165318,-0.2574827380035174,-23.1782428407695,-116.6056091204262,0.0,-23.274823242372772,23.1782428407695,0.2574827380035174,0.1609023364002411,3.552713678800501e-15
tracker-orbital basis,262144,0.8608343424432026,-100.27646788543144,-0.20328992076733243,-16.12585131422742,-116.6056091204262,0.0,-16.211063967478616,16.12585131422742,0.20328992076733243,0.11807726751614211,-7.105427357601002e-15
tracker-orbital basis,524288,0.9090121027642957,-105.9202807223443,-0.15125842720621563,-10.534069970875677,-116.6056091204262,0.0,-10.602129045624583,10.534069970875677,0.15125842720621563,0.08319935245731358,-3.552713678800501e-15
tracker-orbital basis,1048576,0.945102560556053,-110.15221535009914,-0.10408880319366176,-6.349304967133392,-116.6056091204262,0.0,-6.398326302534686,6.349304967133392,0.10408880319366176,0.055067467792369484,-1.7763568394002505e-15
tracker-orbital basis,2097152,0.9701284127588877,-113.09018299858975,-0.0644629883977359,-3.450963133438705,-116.6056091204262,0.0,-3.482202173574858,3.450963133438705,0.0644629883977359,0.03322394826157904,3.9968028886505635e-15
tracker-orbital basis,4194304,0.9856778276246851,-114.91811202462235,-0.03490292203954937,-1.6525941737642995,-116.6056091204262,0.0,-1.6697920591646727,1.6525941737642995,0.03490292203954937,0.017705036639171112,5.10702591327572e-15
