basis,natural_orbital,occupation,distance_to_idempotent
tracker-orbital basis,1,1.9985095879926003,0.001490412007399744
tracker-orbital basis,2,1.997023745124005,0.0029762548759950658
tracker-orbital basis,3,1.9967632583572097,0.0032367416427903084
tracker-orbital basis,4,1.9886761547234555,0.011323845276544509
tracker-orbital basis,5,1.9784699231561544,0.021530076843845558
tracker-orbital basis,6,1.9721945234744716,0.02780547652552845
tracker-orbital basis,7,1.9479901978919663,0.05200980210803374
tracker-orbital basis,8,1.9465133850452985,0.05348661495470153
tracker-orbital basis,9,1.9437149691378621,0.056285030862137875
tracker-orbital basis,10,1.941939414118775,0.05806058588122509
tracker-orbital basis,11,1.4681754328838068,0.5318245671161932
tracker-orbital basis,12,1.4075706682162588,0.5924293317837412
tracker-orbital basis,13,1.2432145261055019,0.7567854738944981
tracker-orbital basis,14,1.1203234161230238,0.8796765838769762
tracker-orbital basis,15,1.077086933678171,0.922913066321829
tracker-orbital basis,16,0.9450158238886377,0.9450158238886377
tracker-orbital basis,17,0.9406930393270176,0.9406930393270176
tracker-orbital basis,18,0.82100256863461,0.82100256863461
tracker-orbital basis,19,0.6608262866938013,0.6608262866938013
tracker-orbital basis,20,0.6042961428411335,0.6042961428411335
