source_orbital,natural_orbital,coefficient
1,1,-0.0012229342462169591
1,2,0.57731197003591939
1,3,0.0042612224791902372
1,4,0.01470604552117121
1,5,0.70430406358532627
1,6,-0.059841908219781574
1,7,-0.011530446932528322
1,8,0.0052593651500624635
1,9,0.00011431843154314959
1,10,-0.031155176468409446
1,11,0.2095453705203221
1,12,0.016654251459463816
1,13,0.0023703968358761191
1,14,-0.004457284244493917
1,15,0.002899427520805162
1,16,-0.33691697910657809
1,17,0.058116999226788063
1,18,-0.067626739828107907
1,19,0.0058190901425140169
1,20,0.00019055670919881278
2,1,-0.0028265585550112525
2,2,0.0061468816321687365
2,3,0.015278978908211673
2,4,-0.0062267041489137993
2,5,-0.0038254704488660711
2,6,-0.0036394895912895942
2,7,0.84158841291078834
2,8,-0.40692361440837943
2,9,0.11140520744823944
2,10,-0.065458161172972665
2,11,0.012279600875280084
2,12,0.00040930454347851397
2,13,0.050105370576122833
2,14,0.0072583490503926986
2,15,-0.013745251184159427
2,16,0.0013444955945074056
2,17,0.053791404461104295
2,18,-0.077110544657696248
2,19,-0.30187349180338063
2,20,-0.078919373926088873
3,1,-0.00060662653259153075
3,2,0.021044099425316189
3,3,-0.0012917224290220749
3,4,0.063740942004131163
3,5,0.096960290177383071
3,6,-0.017597581743830998
3,7,0.086096252772002724
3,8,-0.056337044978382593
3,9,-0.020740217047840709
3,10,0.62460502142276386
3,11,-0.074438837266570551
3,12,-0.0024856182713833357
3,13,-0.026508988827525233
3,14,-0.067748379058813382
3,15,-0.0037122291795082655
3,16,-0.01580256426491973
3,17,-0.004072769077206567
3,18,0.75666945319454448
3,19,-0.030413737334599386
3,20,-0.0062911075327846478
4,1,-0.063337225253063359
4,2,-0.0035554088709866343
4,3,0.035176580566939467
4,4,0.0042027738321829926
4,5,0.0020653835990281167
4,6,-0.0031608048233594775
4,7,-0.092580304708151082
4,8,-0.045347948974125911
4,9,0.10694415388221915
4,10,0.024075097987978102
4,11,-0.004363588863662885
4,12,0.0017064938291665313
4,13,0.97012654253833475
4,14,0.010811444406770759
4,15,0.13760833817259788
4,16,0.0099457733664571266
4,17,0.055626965091222981
4,18,0.025448029247095189
4,19,0.020555553993660308
4,20,-0.087054106018449387
5,1,0.85515618019276907
5,2,-0.023361040029760353
5,3,0.03060420201864197
5,4,-0.0032953895230001294
5,5,0.009338491505851209
5,6,-0.011281541597811598
5,7,-0.025729428883984846
5,8,-0.0055360560642926833
5,9,0.21332148056140096
5,10,0.010450279070527773
5,11,0.007179568477366758
5,12,0.002374659028089453
5,13,-0.04323233494292434
5,14,0.0079575363554905462
5,15,0.4604595898181057
5,16,-0.016176974257551786
5,17,-0.014789882619687595
5,18,0.00085383929921334411
5,19,-0.0046916286521459299
5,20,-0.078591006490352389
6,1,0.018442053242360059
6,2,0.65071777260967811
6,3,0.0020654687605030993
6,4,-0.062526006954767441
6,5,-0.33220809689927039
6,6,-0.37366336246467691
6,7,-0.0016469843946648906
6,8,0.0010214073764939189
6,9,0.0061957476204204344
6,10,0.012581828764156493
6,11,-0.10283611452475117
6,12,0.35588188549872246
6,13,-0.00046079438196694011
6,14,0.050702374528800179
6,15,0.0039346964417309787
6,16,0.42045635532581954
6,17,-0.072795956039515289
6,18,0.015060383697413969
6,19,-0.0011624999225934847
6,20,0.00097847189834598274
7,1,0.015150391092479133
7,2,0.41894537758494427
7,3,0.00034299495524487767
7,4,0.078216823809108688
7,5,-0.086315736236857343
7,6,0.652534844770706
7,7,0.0041507702578262922
7,8,0.0028459485881525927
7,9,0.0072776573264197661
7,10,-0.0042660040128292519
7,11,-0.23777448474784688
7,12,-0.51262136964013549
7,13,0.0012428807794201749
7,14,-0.039998113856373668
7,15,0.021780965458072149
7,16,0.247678577085678
7,17,-0.043062586477552074
7,18,-0.01225079972082385
7,19,-0.0025390256369435004
7,20,-0.006313044904479175
8,1,-0.42356132588149448
8,2,-0.0010980651723445729
8,3,-0.030218187792593103
8,4,0.0063467130258336524
8,5,-0.0066461478130565993
8,6,-0.01089906303092412
8,7,0.055707178012371898
8,8,0.059511496316262437
8,9,-0.18928854060735417
8,10,-0.0082634473351282951
8,11,0.0042249783235788728
8,12,0.0061773391351286093
8,13,-0.13906213468167175
8,14,0.014446878766648318
8,15,0.81339499130374515
8,16,-0.0088023625370897141
8,17,-0.031675329007994392
8,18,-0.0016297995036746724
8,19,0.024823228228769315
8,20,-0.30662812089707597
9,1,-0.038060961725162844
9,2,-0.0064816133371575803
9,3,0.9914656869856403
9,4,-0.05241968383353332
9,5,0.0066235295739404225
9,6,0.0071027333432181631
9,7,0.026977210419070575
9,8,0.088688222675911477
9,9,0.00051919037074748631
9,10,0.0054470661612698781
9,11,-0.0041529423875471989
9,12,0.00080991126920827933
9,13,-0.035657440560846451
9,14,1.7156281752959833e-06
9,15,0.0053373038004766249
9,16,0.016817908954440505
9,17,0.048684959718597313
9,18,0.0039074473027835436
9,19,0.0073040211290377284
9,20,0.00040296258450094112
10,1,-0.0063995875224003504
10,2,0.0017496682481072325
10,3,0.051168297453177046
10,4,0.98101841573924209
10,5,-0.034624611774861584
10,6,-0.15674863545664655
10,7,0.002355338613894625
10,8,0.018979480684575164
10,9,0.039034175850934917
10,10,-0.073689227266835675
10,11,-0.0086746687217732401
10,12,-0.034674952167090163
10,13,-0.0069716877666830095
10,14,0.0032061198852876512
10,15,-0.0021816098002920012
10,16,0.0062866751031289587
10,17,0.0035618229550918854
10,18,-0.019558347425252708
10,19,-0.001808623873743202
10,20,0.0085362292372072948
11,1,-0.28734577022200453
11,2,0.0037832389909996543
11,3,-0.0035496166011495908
11,4,-0.034263504310151557
11,5,-0.013130033689387883
11,6,0.0019760666181039793
11,7,-0.17147300667160431
11,8,-0.10671179311339117
11,9,0.8964172542969997
11,10,0.040301034185862852
11,11,0.0081551894008339929
11,12,-0.0046257598220740912
11,13,-0.13910400049813987
11,14,-0.0011134676748896675
11,15,0.12101488074150063
11,16,-0.019182748344484329
11,17,-0.0086706020386907064
11,18,0.0011675141464591128
11,19,-0.083150261844929546
11,20,0.16921756452161216
12,1,-0.009803223370591807
12,2,-0.24146067463448279
12,3,-0.0071533277428257038
12,4,-0.030316394589729064
12,5,0.5842953149630844
12,6,-0.23038620187317305
12,7,-0.020612791862811935
12,8,-0.047606905292587404
12,9,0.0097211021260208298
12,10,-0.043009447517436947
12,11,-0.31485649196331261
12,12,-0.12892028008395945
12,13,-0.0078654538449800197
12,14,0.018019914285098651
12,15,0.0069882973701585497
12,16,0.63937350779668867
12,17,-0.11635420987857074
12,18,-0.054027953229080709
12,19,-0.008213759589969458
12,20,0.0014876442278252923
13,1,-0.0043089374903806221
13,2,-0.013842695864631056
13,3,-0.095626519350052744
13,4,-0.020632366127129289
13,5,0.031555425975000412
13,6,-0.013474052867298983
13,7,0.40876807469632226
13,8,0.8717859613917387
13,9,0.19287199485421067
13,10,0.023321326942707214
13,11,-0.014946758204009957
13,12,-0.0067214753218314653
13,13,0.059030215800136052
13,14,-0.00021180163607227535
13,15,-0.027075121418526759
13,16,0.050562522044687336
13,17,0.1180197059141975
13,18,0.0063209653471134972
13,19,0.047917333564753327
13,20,0.029821094844770121
14,1,-0.00076183403113941458
14,2,-0.056047733685988005
14,3,2.0244521675804867e-05
14,4,0.1034125671048451
14,5,0.077773817064354905
14,6,0.3004620229656087
14,7,0.0027485357126594617
14,8,-0.0081356216374972121
14,9,-0.021950556526888855
14,10,0.66019138841728142
14,11,0.075735665098110028
14,12,0.36889381605624294
14,13,-0.0013667828970905648
14,14,0.062507438958483916
14,15,0.0014491510997320359
14,16,0.12699435364221967
14,17,-0.013246892376100812
14,18,-0.53980738996328304
14,19,-0.00018324202634390746
14,20,0.0021666526775716548
15,1,-0.0010089140327494968
15,2,-0.066273499861167706
15,3,-0.001901930614906764
15,4,0.084997768378171634
15,5,0.16130185669527886
15,6,0.51176521489742355
15,7,0.0027063494472135347
15,8,0.0045919552302307355
15,9,0.027988471365085258
15,10,-0.39749671528226993
15,11,0.041631671301873736
15,12,0.63708338534134346
15,13,-0.0022059340221633576
15,14,0.029700893049357448
15,15,0.0041976542063214464
15,16,0.15906670081473692
15,17,-0.03204414692692787
15,18,0.32680019062052096
15,19,0.00052508593669807664
15,20,0.00070087443201257804
16,1,-0.013438693847663762
16,2,-2.7276608625500791e-05
16,3,0.0062015571930299713
16,4,-9.8927442012865881e-05
16,5,-0.0009542967356583619
16,6,-0.001410444735096088
16,7,0.25905426467254045
16,8,-0.17860131473661434
16,9,0.067531712636996352
16,10,-0.00032812403100265477
16,11,-1.4456606553843304e-05
16,12,-0.0031341680003467657
16,13,0.0044331657950725852
16,14,-0.00062450748538181195
16,15,0.044160939897859186
16,16,-0.01244085851651274
16,17,-0.092387337548615417
16,18,-0.0023815902504847699
16,19,0.92198842281957838
16,20,0.18833819685970735
17,1,0.00044967324800804378
17,2,-0.025170798530485875
17,3,0.00033638374524130741
17,4,0.0013116189707516608
17,5,-0.026022665105587567
17,6,0.012898979555002309
17,7,-0.00070438290606950277
17,8,0.00028353082938511873
17,9,0.0017024001261513237
17,10,0.0090965131551215724
17,11,0.87531070461326821
17,12,-0.2170843652457137
17,13,0.00015945095743428702
17,14,0.10185835071273747
17,15,-0.00740172982578739
17,16,0.39892722704773642
17,17,-0.074504082123751661
