alpha,beta,coefficient
11111111111111100000,11111111111111100000,0.7871098006800894
11111111111111100000,10111111111111110000,-0.17833115627028365
10111111111111110000,11111111111111100000,-0.17833115627022864
11111111111111010000,11111111111111010000,-0.13458229784681525
11111111111111100000,11111111111101100100,-0.11516559683759167
11111111111101100100,11111111111111100000,-0.1151655968375786
11111111110111100001,11111111111111100000,-0.1085364417956777
11111111111111100000,11111111110111100001,-0.10853644179567713
11111111111101100100,10111111111111110000,0.080270127213600745
10111111111111110000,11111111111101100100,0.080270127213599579
11111111110111100001,10111111111111110000,0.080114441408554199
10111111111111110000,11111111110111100001,0.080114441408547316
11111111111111010000,11111101111111110000,0.078266287369438553
11111101111111110000,11111111111111010000,0.078266287369433821
11111101111111110000,11111101111111110000,-0.077475503492979048
11111111111111100000,10111111111101110100,-0.066205097077466718
10111111111101110100,11111111111111100000,-0.066205097077458308
11111111111111100000,11111111111011101000,0.063950590075905395
11111111111011101000,11111111111111100000,0.063950590075883496
11111111111111100000,10111111110111110001,-0.06373581871199592
10111111110111110001,11111111111111100000,-0.063735818711992534
11111111110111101000,11111101111111110000,-0.063669891596106212
11111101111111110000,11111111110111101000,-0.063669891596098399
11111011111111110000,11111111111111010000,0.059082176379950287
11111111111111010000,11111011111111110000,0.059082176379949107
11111111111101100010,11111101111111110000,0.058858125349398625
11111101111111110000,11111111111101100010,0.05885812534939748
11111111110111101000,11111111111111010000,0.05705647337552678
11111111111111010000,11111111110111101000,0.057056473375520757
11111111111111010000,11111111111110110000,0.056559829838251051
11111111111110110000,11111111111111010000,0.056559829838247963
11111111111111010000,11111111111101100010,-0.049524604207086959
11111111111101100010,11111111111111010000,-0.049524604207086952
11111111111111100000,11111101110111111000,0.046530116940640499
11111101110111111000,11111111111111100000,0.04653011694063558
11111111110111101000,11111011111111110000,-0.043994461922502712
11111011111111110000,11111111110111101000,-0.04399446192249859
11111111111101100010,11111011111111110000,0.040712748176926446
11111011111111110000,11111111111101100010,0.040712748176924628
11111101111111110000,11111111111110110000,-0.040264572066875649
11111111111110110000,11111101111111110000,-0.040264572066875434
11111101111111110000,11111011111111110000,-0.040233260010519599
11111011111111110000,11111101111111110000,-0.040233260010517899
11111111111110110000,11111111111110110000,-0.039098437975803965
11111111111111100000,11111111101111100010,0.038677102593630976
11111111101111100010,11111111111111100000,0.038677102593624724
11111111111111100000,11111101111101110010,-0.038490389135714238
11111101111101110010,11111111111111100000,-0.038490389135709534
11111110111111101000,11111110111111101000,-0.038295732917478655
11111111111111100000,11111111111011010001,-0.037604959671826234
11111111111011010001,11111111111111100000,-0.037604959671823125
11111110111111100001,11111111111111100000,-0.036350593620145935
11111111111111100000,11111110111111100001,-0.036350593620135305
10111111111111110000,11111111111011101000,-0.034706587495331398
11111111111011101000,10111111111111110000,-0.034706587495328886
10111111111111110000,11111111101111100010,-0.03456222131678785
11111111101111100010,10111111111111110000,-0.034562221316786913
11111111110111101000,11111111111110110000,-0.033157300129892903
11111111111110110000,11111111110111101000,-0.033157300129887712
11111111111011110000,11111111111011110000,-0.032485624067260195
11111111111111100000,10111111111011111000,0.032455217444194218
10111111111011111000,11111111111111100000,0.032455217444192774
11111111111111100000,11111111110111011000,0.032194396622062513
11111111110111011000,11111111111111100000,0.03219439662205216
