alpha,beta,coefficient
11111111111111100000,11001110111011101111,0.036706373005975179
11111111111111001000,11011110111011101110,-0.012010476030657968
11111111111110101000,11111110111010101110,-0.0064227609572102828
11111111111110101000,11011110111011101110,-0.024670106581408502
11111111111110101000,11010111111011101110,0.0089535044486259152
11111111111110101000,11011010111111101110,0.010926634033691651
11111111111110101000,01011110111111101110,-0.0086931491796805038
11111111111011101000,11101111111010101110,-0.016848852411068427
11111111111011101000,11001111111011101110,-0.072204643601127216
11111111111011101000,11001011111111101110,-0.029630480398815773
11111111111011101000,01001111111111101110,-0.026008495901924472
11111110111111101000,11101110111111001110,0.015010016506821544
11111110111111101000,11101110111110101110,0.040854747910293157
11111110111111101000,11100111111110101110,-0.011434509270584273
11111110111111101000,11001110111111101110,0.12102651427318376
11111110111111101000,11000111111111101110,-0.034308082677169047
11111011111111101000,11001111111011101110,-0.028433117321928183
11110111111111101000,11101110111110101110,-0.011453088848540221
11110111111111101000,11001110111111101110,-0.034662640044504769
11101111111111101000,11101110111011101110,0.10511729904132772
11101111111111101000,11100111111011101110,-0.033975804091079899
11101111111111101000,11101100111111101110,0.023619052652301024
11101111111111101000,11101010111111101110,-0.046076147431471995
11101111111111101000,01101110111111101110,0.036370055930360523
11011111111111101000,11111110111011001110,-0.010504483303649233
11011111111111101000,11111110111010101110,-0.022973403321250783
11011111111111101000,11111010111110101110,0.010757929794736784
11011111111111101000,01111110111110101110,0.0089851042045447742
11011111111111101000,11011110111011101110,-0.094596478159763075
11011111111111101000,11010111111011101110,0.030067445501328206
11011111111111101000,11011100111111101110,-0.021306120664246635
11011111111111101000,11011010111111101110,0.035794829244381723
11011111111111101000,01011110111111101110,-0.031083037622927408
01111111111111101000,11001111111011101110,-0.024632287399678206
11111110111110111000,11011110111111001110,0.0017135501952869464
11101111111011111000,11101111111011001110,-0.0024539976159323436
11011111111011111000,11011111111011001110,0.0020681829984197913
11101110111111111000,11101110111111001110,0.0073926947217810724
11101110111111111000,11101100111111101110,0.0048301385544727259
11011110111111111000,11111110111110001110,0.0025567993325119392
11011110111111111000,11011110111111001110,-0.0066844938445244327
11001111111111111000,11111110111011001110,0.0040977199780744371
11111111111110100100,11011110111011101101,-0.020540784980816271
11111111111011100100,11001111111011101101,-0.037852578899273417
11111110111111100100,11101110111110101101,0.022374963168042283
11111110111111100100,11001110111111101101,0.073341059342363998
11110111111111100100,11001110111111101101,-0.026490945194928863
11101111111111100100,11101111111011101100,0.045804482661059909
11101111111111100100,11101110111011101101,0.084217008603716045
11101111111111100100,11101010111111101101,-0.042521547032610997
11101111111111100100,01101110111111101101,0.026684182008782361
11011111111111100100,11011111111011101100,-0.041244705518966245
11011111111111100100,11111110111010101101,-0.021180083653129154
11011111111111100100,11011110111011101101,-0.07515101583780702
11011111111111100100,11011010111111101101,0.035091259454873014
11111111111110001100,11011110111011111100,-4.1178259698207788e-05
11111111111011001100,11011111111011101100,0.015607670825863004
11111110111111001100,11111110111110101100,0.0090691258190202725
11111110111111001100,11011110111111101100,-0.034669886064340662
11111110111111001100,11010111111111101100,0.01075490535999229
