k,cumulative_norm2,projected_overlap,rayleigh_energy_eh,energy_error_vs_full_eh,energy_error_vs_full_millieh,residual_norm_eh,correlation_recovery_fraction,wall_s,state
64,0.07549820705485956,0.2747693706635794,-115.82144820635088,0.7841609140754286,784.1609140754286,0.8407863675592624,-0.9614173086332974,40.26061654090881,top-k projection
128,0.10526739471379046,0.3244493715725004,-115.90177029278989,0.7038388276364174,703.8388276364174,0.8142578645437185,-0.7605081230578197,39.82974433898926,top-k projection
256,0.14384495707783085,0.3792689772151565,-115.94156813980253,0.6640409806237813,664.0409806237813,0.8226508493544901,-0.6609619909109988,39.461639642715454,top-k projection
512,0.19134587182188278,0.4374309909252921,-116.00034344510804,0.6052656753182646,605.2656753182646,0.7855703997101762,-0.5139476484754643,39.58610963821411,top-k projection
1024,0.24803600104779314,0.49803212852966966,-116.05942383911882,0.546185281307487,546.185281307487,0.7696748168161083,-0.36617018936779505,39.55662655830383,top-k projection
2048,0.31474832269595765,0.5610243512504245,-116.11288634134097,0.4927227790853408,492.7227790853408,0.7469126900170889,-0.23244473157065093,39.36480665206909,top-k projection
4096,0.38896101785770426,0.623667393614342,-116.15988986224947,0.4457192581768368,445.7192581768368,0.7312072223269687,-0.11487508760880108,39.44259309768677,top-k projection
8192,0.4713033463962392,0.6865153650110377,-116.21770447220204,0.3879046482242643,387.9046482242643,0.6921196008655934,0.02973627291349949,39.632304191589355,top-k projection
16384,0.5578900051524345,0.7469203472609635,-116.27707903399622,0.3285300864300922,328.5300864300922,0.650572712835092,0.17824953225251866,39.5912139415741,top-k projection
32768,0.6447111315012242,0.8029390583980969,-116.33570172667926,0.2699073937470473,269.9073937470473,0.6026239599592641,0.3248821455890136,39.57516622543335,top-k projection
65536,0.7269335614764002,0.8526039886585075,-116.39323140342947,0.2123777169968406,212.3777169968406,0.5463196333931163,0.46878080428584323,39.443437576293945,top-k projection
131072,0.8001212430759829,0.8944949653720783,-116.44470678402597,0.16090233640034057,160.90233640034057,0.4871346274233872,0.5975358858745564,39.65856385231018,top-k projection
262144,0.8608343424432026,0.9278115877931492,-116.48753185291005,0.1180772675162558,118.0772675162558,0.42838822851711916,0.704653991157444,39.56612300872803,top-k projection
524288,0.9090121027642957,0.9534212619636147,-116.5224097679689,0.08319935245741306,83.19935245741306,0.37008838505981173,0.7918939250249917,39.72035336494446,top-k projection
1048576,0.945102560556053,0.9721638547878467,-116.55054165263383,0.05506746779248317,55.06746779248317,0.3102550505357112,0.8622600507982044,39.8412504196167,top-k projection
2097152,0.9701284127588877,0.9849509697232618,-116.57238517216463,0.033223948261678515,33.223948261678515,0.2483224402357236,0.9168971240317073,39.98997116088867,top-k projection
4194304,0.9856778276246851,0.9928130879599764,-116.58790408378702,0.0177050366392848,17.7050366392848,0.1865470118225131,0.9557144908768821,40.14541578292847,top-k projection
