basis,k,fraction_of_full_space,cumulative_norm2,projected_overlap,rayleigh_energy_eh,energy_error_vs_full_eh,energy_error_vs_full_millieh,residual_norm_eh,correlation_recovery_fraction,wall_s,state
tracker-orbital basis,64,2.662517399551206e-07,0.07549820705485956,0.2747693706635794,-115.82144820635088,0.784160914075315,784.160914075315,0.840786367559262,-0.9614173086335709,68.96136116981506,amplitude-ranked projection
tracker-orbital basis,128,5.325034799102412e-07,0.10526739471379046,0.3244493715725004,-115.90177029278989,0.7038388276363037,703.8388276363037,0.8142578645437193,-0.760508123058036,68.90641331672668,amplitude-ranked projection
tracker-orbital basis,256,1.0650069598204824e-06,0.14384495707783085,0.3792689772151565,-115.94156813980253,0.6640409806236676,664.0409806236676,0.8226508493544901,-0.6609619909111868,69.00728225708008,amplitude-ranked projection
tracker-orbital basis,512,2.1300139196409648e-06,0.19134587182188278,0.4374309909252921,-116.00034344510804,0.6052656753181509,605.2656753181509,0.7855703997101765,-0.5139476484756104,69.12477684020996,amplitude-ranked projection
tracker-orbital basis,1024,4.2600278392819296e-06,0.24803600104779314,0.49803212852966966,-116.05942383911882,0.5461852813073733,546.1852813073733,0.7696748168161089,-0.3661701893678992,68.81148505210876,amplitude-ranked projection
tracker-orbital basis,2048,8.520055678563859e-06,0.31474832269595765,0.5610243512504245,-116.11288634134097,0.4927227790852271,492.7227790852271,0.7469126900170888,-0.23244473157071702,68.82751083374023,amplitude-ranked projection
tracker-orbital basis,4096,1.7040111357127718e-05,0.38896101785770426,0.623667393614342,-116.15988986224949,0.4457192581767089,445.7192581767089,0.7312072223269687,-0.11487508760879821,68.98332619667053,amplitude-ranked projection
tracker-orbital basis,8192,3.4080222714255437e-05,0.4713033463962392,0.6865153650110377,-116.21770447220204,0.3879046482241506,387.9046482241506,0.6921196008655937,0.029736272913507944,69.02380537986755,amplitude-ranked projection
tracker-orbital basis,16384,6.816044542851087e-05,0.5578900051524345,0.7469203472609635,-116.27707903399622,0.3285300864299785,328.5300864299785,0.6505727128350918,0.17824953225256934,68.96251177787781,amplitude-ranked projection
tracker-orbital basis,32768,0.00013632089085702175,0.6447111315012242,0.8029390583980969,-116.33570172667926,0.2699073937469336,269.9073937469336,0.6026239599592641,0.324882145589106,69.03264451026917,amplitude-ranked projection
tracker-orbital basis,65536,0.0002726417817140435,0.7269335614764002,0.8526039886585075,-116.3932314034295,0.2123777169966985,212.3777169966985,0.546319633393116,0.4687808042860476,68.9122748374939,amplitude-ranked projection
tracker-orbital basis,131072,0.000545283563428087,0.8001212430759829,0.8944949653720783,-116.44470678402595,0.1609023364002411,160.9023364002411,0.4871346274233869,0.5975358858746909,68.91007089614868,amplitude-ranked projection
tracker-orbital basis,262144,0.001090567126856174,0.8608343424432026,0.9278115877931492,-116.48753185291005,0.11807726751614211,118.07726751614211,0.42838822851711916,0.7046539911576444,69.02579092979431,amplitude-ranked projection
tracker-orbital basis,524288,0.002181134253712348,0.9090121027642957,0.9534212619636147,-116.52240976796888,0.08319935245731358,83.19935245731358,0.3700883850598116,0.7918939250251813,68.86539053916931,amplitude-ranked projection
tracker-orbital basis,1048576,0.004362268507424696,0.945102560556053,0.9721638547878467,-116.55054165263383,0.055067467792369484,55.067467792369484,0.3102550505357111,0.8622600507984496,68.94334173202515,amplitude-ranked projection
tracker-orbital basis,2097152,0.008724537014849392,0.9701284127588877,0.9849509697232618,-116.57238517216462,0.03322394826157904,33.22394826157904,0.24832244023572358,0.9168971240319325,69.00038123130798,amplitude-ranked projection
tracker-orbital basis,4194304,0.017449074029698784,0.9856778276246851,0.9928130879599764,-116.58790408378702,0.017705036639171112,17.705036639171112,0.1865470118225131,0.9557144908771538,69.145747423172,amplitude-ranked projection
